date,description,title,source_name,url,source,pdid,incidntnum,incident_code,category,descript,dayofweek,time,pddistrict,resolution,address,x,y,location,type
2024-01-01 00:20:00+00:00,WEAPONS VIOLATION: UNLAWFUL USE - OTHER FIREARM,,,,police_chicago,,,,,,,,,,,,,008XX W 49TH PL,WEAPONS VIOLATION
2024-01-01 00:16:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,016XX E 85TH PL,CRIMINAL DAMAGE
2024-01-01 00:15:00+00:00,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY,,,,police_chicago,,,,,,,,,,,,,049XX S WESTERN BLVD,CRIMINAL DAMAGE
2024-01-01 00:15:00+00:00,ASSAULT: AGGRAVATED - HANDGUN,,,,police_chicago,,,,,,,,,,,,,050XX W WELLINGTON AVE,ASSAULT
2024-01-01 00:15:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,108XX S AVENUE L,CRIMINAL DAMAGE
2024-01-01 00:05:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,027XX S SPRINGFIELD AVE,CRIMINAL DAMAGE
2024-01-01 00:05:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,032XX S BELL AVE,CRIMINAL DAMAGE
2024-01-01 00:04:00+00:00,BATTERY: AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,,,,police_chicago,,,,,,,,,,,,,034XX W WALNUT ST,BATTERY
2024-01-01 00:02:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,018XX S KOMENSKY AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,066XX S MARQUETTE RD,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,036XX W LAWRENCE AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,THEFT: FROM BUILDING,,,,police_chicago,,,,,,,,,,,,,034XX W FRANKLIN BLVD,THEFT
2024-01-01 00:00:00+00:00,THEFT: OVER $500,,,,police_chicago,,,,,,,,,,,,,049XX S THROOP ST,THEFT
2024-01-01 00:00:00+00:00,WEAPONS VIOLATION: RECKLESS FIREARM DISCHARGE,,,,police_chicago,,,,,,,,,,,,,082XX S ELIZABETH ST,WEAPONS VIOLATION
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,070XX S OAKLEY AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,030XX N ALBANY AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,021XX N LECLAIRE AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,107XX S EMERALD AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,091XX S LAFLIN ST,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,THEFT: ATTEMPT THEFT,,,,police_chicago,,,,,,,,,,,,,038XX N DRAKE AVE,THEFT
2024-01-01 00:00:00+00:00,THEFT: OVER $500,,,,police_chicago,,,,,,,,,,,,,015XX W GARFIELD BLVD,THEFT
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,013XX S CLAREMONT AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,002XX W 105TH PL,BATTERY
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,081XX S ESSEX AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,059XX W LAKE ST,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,077XX S LUELLA AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,122XX S SANGAMON ST,BATTERY
2024-01-01 00:00:00+00:00,THEFT: $500 AND UNDER,,,,police_chicago,,,,,,,,,,,,,077XX S EGGLESTON AVE,THEFT
2024-01-01 00:00:00+00:00,THEFT: $500 AND UNDER,,,,police_chicago,,,,,,,,,,,,,036XX S WOLCOTT AVE,THEFT
2024-01-01 00:00:00+00:00,ASSAULT: AGGRAVATED - HANDGUN,,,,police_chicago,,,,,,,,,,,,,064XX N LEAVITT ST,ASSAULT
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,031XX W 38TH PL,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,041XX N KIMBALL AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS,,,,police_chicago,,,,,,,,,,,,,034XX W BEACH AVE,OTHER OFFENSE
2024-01-01 00:00:00+00:00,THEFT: OVER $500,,,,police_chicago,,,,,,,,,,,,,014XX W 37TH ST,THEFT
2024-01-01 00:00:00+00:00,BURGLARY: FORCIBLE ENTRY,,,,police_chicago,,,,,,,,,,,,,097XX S LOWE AVE,BURGLARY
2024-01-01 00:00:00+00:00,BURGLARY: FORCIBLE ENTRY,,,,police_chicago,,,,,,,,,,,,,003XX S KILPATRICK AVE,BURGLARY
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,061XX S DREXEL AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,SEX OFFENSE: AGGRAVATED CRIMINAL SEXUAL ABUSE,,,,police_chicago,,,,,,,,,,,,,033XX N HARLEM AVE,SEX OFFENSE
2024-01-01 00:00:00+00:00,DECEPTIVE PRACTICE: FORGERY,,,,police_chicago,,,,,,,,,,,,,037XX N LOCKWOOD AVE,DECEPTIVE PRACTICE
2024-01-01 00:00:00+00:00,BATTERY: AGGRAVATED - HANDGUN,,,,police_chicago,,,,,,,,,,,,,050XX W VAN BUREN ST,BATTERY
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO PROPERTY,,,,police_chicago,,,,,,,,,,,,,063XX S GREEN ST,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,021XX S CENTRAL PARK AVE,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,040XX S DREXEL BLVD,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,040XX S DREXEL BLVD,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,MOTOR VEHICLE THEFT: AUTOMOBILE,,,,police_chicago,,,,,,,,,,,,,007XX N MAY ST,MOTOR VEHICLE THEFT
2024-01-01 00:00:00+00:00,CRIMINAL DAMAGE: TO VEHICLE,,,,police_chicago,,,,,,,,,,,,,040XX S DREXEL BLVD,CRIMINAL DAMAGE
2024-01-01 00:00:00+00:00,DECEPTIVE PRACTICE: FRAUD OR CONFIDENCE GAME,,,,police_chicago,,,,,,,,,,,,,067XX N ASHLAND AVE,DECEPTIVE PRACTICE
2024-01-01 00:00:00+00:00,BATTERY: DOMESTIC BATTERY SIMPLE,,,,police_chicago,,,,,,,,,,,,,034XX W DRUMMOND PL,BATTERY
2024-01-01 00:00:00+00:00,ASSAULT: AGGRAVATED - OTHER DANGEROUS WEAPON,,,,police_chicago,,,,,,,,,,,,,024XX N MILWAUKEE AVE,ASSAULT
